--- Log Capture Start: 20260405_180842 ---
04-05 18:07:25.448 D/BleProximity: ℹ️ 打火指令已发送（协议无成功返回值），默认视为成功
04-05 18:07:25.451 D/BleProximity: 📊 指令出队: 120 秒打火 -> com.my.mg.bluetooh.BluetoothManage$OperationResult$SUCCESS@c17ef3d
04-05 18:07:51.065 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:51.268 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:51.475 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:51.679 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:51.883 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:52.112 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:52.312 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:52.520 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:52.728 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:52.937 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:53.143 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:53.361 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:53.556 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:53.762 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:53.969 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:54.175 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:54.384 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:54.591 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:54.794 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:55.001 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:55.206 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:55.404 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:55.621 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:55.815 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:56.020 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:56.227 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:56.430 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:56.656 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:56.857 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:57.063 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:57.275 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:57.482 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:57.684 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:57.904 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:58.109 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:58.315 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:58.521 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:58.733 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:58.939 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:59.166 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:59.356 D/BleProximity: 📡 EMA 信号: -83 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:59.560 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:59.769 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:59.970 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:00.184 D/BleProximity: 📡 EMA 信号: -83 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:00.384 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:00.588 D/BleProximity: 📡 EMA 信号: -84 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:00.792 D/BleProximity: 📡 EMA 信号: -83 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:01.000 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:01.204 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:01.409 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:01.618 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:01.823 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:02.032 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:02.239 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:02.470 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:08:02.664 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
