--- Log Capture Start: 20260214_144931 ---
02-14 14:14:39.389 D/BleProximity: 📊 正在收集信号样本: 1/5
02-14 14:14:39.691 D/BleProximity: 📶 RSSI: -78
02-14 14:14:39.692 D/BleProximity: 📊 正在收集信号样本: 2/5
02-14 14:14:39.993 D/BleProximity: 📶 RSSI: -81
02-14 14:14:39.993 D/BleProximity: 📊 正在收集信号样本: 3/5
02-14 14:14:40.293 D/BleProximity: 📶 RSSI: -82
02-14 14:14:40.294 D/BleProximity: 📊 正在收集信号样本: 4/5
02-14 14:14:40.595 D/BleProximity: 📶 RSSI: -83
02-14 14:14:40.902 D/BleProximity: 📶 RSSI: -84
02-14 14:14:41.205 D/BleProximity: 📶 RSSI: -85
02-14 14:14:41.516 D/BleProximity: 📶 RSSI: -90
02-14 14:14:41.816 D/BleProximity: 📶 RSSI: -89
02-14 14:14:42.118 D/BleProximity: 📶 RSSI: -88
02-14 14:14:42.420 D/BleProximity: 📶 RSSI: -88
02-14 14:14:42.723 D/BleProximity: 📶 RSSI: -85
02-14 14:14:43.025 D/BleProximity: 📶 RSSI: -83
02-14 14:14:43.337 D/BleProximity: 📶 RSSI: -87
02-14 14:14:43.642 D/BleProximity: 📶 RSSI: -90
02-14 14:14:43.948 D/BleProximity: 📶 RSSI: -89
02-14 14:14:44.252 D/BleProximity: 📶 RSSI: -91
02-14 14:14:44.553 D/BleProximity: 📶 RSSI: -93
02-14 14:14:44.855 D/BleProximity: 📶 RSSI: -89
02-14 14:14:45.157 D/BleProximity: 📶 RSSI: -87
02-14 14:14:45.460 D/BleProximity: 📶 RSSI: -84
02-14 14:14:45.772 D/BleProximity: 📶 RSSI: -85
02-14 14:14:46.076 D/BleProximity: 📶 RSSI: -85
02-14 14:14:46.377 D/BleProximity: 📶 RSSI: -84
02-14 14:14:46.680 D/BleProximity: 📶 RSSI: -86
02-14 14:14:46.978 D/BleProximity: 📶 RSSI: -87
02-14 14:14:47.285 D/BleProximity: 📶 RSSI: -88
02-14 14:14:47.596 D/BleProximity: 📶 RSSI: -88
02-14 14:14:47.899 D/BleProximity: 📶 RSSI: -90
02-14 14:14:48.203 D/BleProximity: 📶 RSSI: -79
02-14 14:14:48.509 D/BleProximity: 📶 RSSI: -84
02-14 14:14:48.813 D/BleProximity: 📶 RSSI: -83
02-14 14:14:49.113 D/BleProximity: 📶 RSSI: -81
02-14 14:14:49.414 D/BleProximity: 📶 RSSI: -79
02-14 14:14:49.725 D/BleProximity: 📶 RSSI: -78
02-14 14:14:50.032 D/BleProximity: 📶 RSSI: -78
02-14 14:14:50.033 D/BleProximity: 🔓 >>> 触发解锁 <<<
02-14 14:14:50.033 D/BleProximity: 原因: 信号均值(-79) > 阈值(-80.0) 
02-14 14:14:50.034 D/BleProximity: 📤 发送指令: 解锁车门
02-14 14:14:50.077 D/BleProximity: 收到认证挑战：uuid: E6B0E704-BD48-4CA4-8EC4-7C6503C24AF4, value: e013f069b819
02-14 14:14:50.078 D/BleProximity: 🔐 处理认证挑战: 653031336630363962383139
02-14 14:14:50.332 D/BleProximity: 📶 RSSI: -81
02-14 14:14:50.642 D/BleProximity: 📶 RSSI: -82
02-14 14:14:50.800 D/BleProximity: 收到认证挑战：uuid: 6CB493E3-7D21-46FB-A7F6-003E2464267E, value: 01
02-14 14:14:50.801 D/BleProximity: 解锁成功
02-14 14:14:50.801 D/BleProximity: 📊 指令出队: 解锁车门 -> SUCCESS
02-14 14:14:50.801 D/BleProximity: 🔓 解锁结果: SUCCESS
02-14 14:14:50.801 D/BleProximity: 🔄 同步状态: 车辆已解锁
02-14 14:14:50.808 D/BleProximity: 🔗 链式触发: 120秒打火
02-14 14:14:50.943 D/BleProximity: 📶 RSSI: -80
02-14 14:14:50.944 D/BleProximity: 📊 正在收集信号样本: 1/5
02-14 14:14:51.244 D/BleProximity: 📶 RSSI: -83
02-14 14:14:51.244 D/BleProximity: 📊 正在收集信号样本: 2/5
02-14 14:14:51.309 D/BleProximity: 📤 发送指令: 120秒打火
02-14 14:14:51.375 D/BleProximity: 收到认证挑战：uuid: E6B0E704-BD48-4CA4-8EC4-7C6503C24AF4, value: 079ffe4695ba
02-14 14:14:51.376 D/BleProximity: 🔐 处理认证挑战: 303739666665343639356261
02-14 14:14:51.548 D/BleProximity: 📶 RSSI: -85
02-14 14:14:51.549 D/BleProximity: 📊 正在收集信号样本: 3/5
02-14 14:14:51.860 D/BleProximity: 📶 RSSI: -83
02-14 14:14:51.861 D/BleProximity: 📊 正在收集信号样本: 4/5
02-14 14:14:52.166 D/BleProximity: 📶 RSSI: -84
02-14 14:14:52.461 D/BleProximity: 📶 RSSI: -85
02-14 14:14:52.773 D/BleProximity: 📶 RSSI: -85
02-14 14:14:53.072 D/BleProximity: 📶 RSSI: -87
02-14 14:14:53.372 D/BleProximity: 📶 RSSI: -89
02-14 14:14:53.675 D/BleProximity: 📶 RSSI: -89
02-14 14:14:53.988 D/BleProximity: 📶 RSSI: -86
02-14 14:14:54.289 D/BleProximity: 📶 RSSI: -83
02-14 14:14:54.316 D/BleProximity: ⏱️ 指令超时无响应: 120秒打火
02-14 14:14:54.317 D/BleProximity: 📊 指令出队: 120秒打火 -> TIMEOUT
02-14 14:14:54.597 D/BleProximity: 📶 RSSI: -83
02-14 14:14:54.902 D/BleProximity: 📶 RSSI: -82
02-14 14:14:55.203 D/BleProximity: 📶 RSSI: -83
02-14 14:14:55.503 D/BleProximity: 📶 RSSI: -81
02-14 14:14:55.805 D/BleProximity: 📶 RSSI: -82
02-14 14:14:56.108 D/BleProximity: 📶 RSSI: -82
02-14 14:14:56.410 D/BleProximity: 📶 RSSI: -85
02-14 14:14:56.721 D/BleProximity: 📶 RSSI: -80
02-14 14:14:57.025 D/BleProximity: 📶 RSSI: -81
02-14 14:14:57.325 D/BleProximity: 📶 RSSI: -85
02-14 14:14:57.630 D/BleProximity: 📶 RSSI: -81
02-14 14:14:57.932 D/BleProximity: 📶 RSSI: -85
02-14 14:14:58.233 D/BleProximity: 📶 RSSI: -85
02-14 14:14:58.531 D/BleProximity: 📶 RSSI: -82
02-14 14:14:58.835 D/BleProximity: 📶 RSSI: -80
02-14 14:14:59.138 D/BleProximity: 📶 RSSI: -83
02-14 14:14:59.446 D/BleProximity: 📶 RSSI: -82
02-14 14:14:59.748 D/BleProximity: 📶 RSSI: -82
02-14 14:15:00.051 D/BleProximity: 📶 RSSI: -83
02-14 14:15:00.358 D/BleProximity: 📶 RSSI: -83
02-14 14:15:00.663 D/BleProximity: 📶 RSSI: -83
02-14 14:15:00.963 D/BleProximity: 📶 RSSI: -83
02-14 14:15:01.265 D/BleProximity: 📶 RSSI: -85
02-14 14:15:01.578 D/BleProximity: 📶 RSSI: -85
02-14 14:15:01.885 D/BleProximity: 📶 RSSI: -83
