--- Log Capture Start: 20260430_161409 ---
04-30 16:07:17.845 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:18.152 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:18.468 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:18.767 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:19.073 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:19.381 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:19.687 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:19.995 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:20.309 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:20.608 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:20.916 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:21.222 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:21.529 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:21.836 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:22.143 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:22.450 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:22.758 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:23.072 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:23.362 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:23.669 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:23.977 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:24.283 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:24.590 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:24.898 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:25.205 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:25.512 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:25.827 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:26.125 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:26.433 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:26.740 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:27.039 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:27.345 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:27.652 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:27.959 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:28.275 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:28.573 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:28.888 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:29.187 D/BleProximity: 📡 EMA 信号: -69 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:29.484 D/BleProximity: 📡 EMA 信号: -68 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:29.784 D/BleProximity: 📡 EMA 信号: -68 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:30.086 D/BleProximity: 📡 EMA 信号: -68 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:30.388 D/BleProximity: 📡 EMA 信号: -68 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:30.689 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:30.990 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:31.296 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:31.597 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:31.900 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:32.199 D/BleProximity: 📡 EMA 信号: -74 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:32.500 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:32.803 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:33.109 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-87.0 | 解锁阈值:-90.0
